Order ID,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-100000,Second Class,Corporate,India,Kolkata,Karnataka,East,Technology,Tables,18249.52,7,,1363.6
ORD-100001,Same Day,Home Office,India,Mumbai,Telangana,Central,Technology,Binders,53680.26,1,0,6116.51
ORD-100002,Standard Class,Corporate,India,,West Bengal,North,,Phones,22552.57,9,0.2,-172.44
ORD-100003,Same Day,Consumer,India,,Karnataka,East,Furniture,Tables,47971.62,5,0,8880.96
ORD-100004,First Class,Home Office,India,Mumbai,Karnataka,West,Furniture,Storage,17498.16,4,0.2,-612.12
ORD-100005,Standard Class,Consumer,India,Mumbai,Karnataka,Central,Furniture,Storage,NA,11,,
ORD-100006,Standard Class,Home Office,India,Kolkata,Delhi,West,Furniture,Chairs,59787.45,3,0.3,-3774.7
ORD-100007,Same Day,,India,Hyderabad,Tamil Nadu,North,Office Supplies,Chairs,18453.72,2,0.2,-1330.47
ORD-100008,Same Day,Home Office,India,Chennai,West Bengal,West,Office Supplies,Storage,38037.56,11,0.2,-5551.06
ORD-100009,First Class,Corporate,India,Hyderabad,Tamil Nadu,West,Office Supplies,Binders,49242.2,7,0.1,-3354.51
ORD-100010,Standard Class,Home Office,India,Delhi,Tamil Nadu,North,Technology,Accessories,15991.35,3,0,3383.27
ORD-100011,Standard Class,Corporate,India,Chennai,Telangana,,Furniture,Accessories,52720.56,10,0.3,-4720.08
ORD-100012,Second Class,,India,Bangalore,Maharashtra,West,Technology,Storage,1655.63,11,0,121.77
ORD-100013,Second Class,Corporate,India,Chennai,Maharashtra,South,Office Supplies,Phones,50297.45,3,None,11300.74
ORD-100014,Standard Class,Consumer,India,Chennai,Maharashtra,South,,Storage,51025.31,11,0.05,5278.5
ORD-100015,First Class,Corporate,India,Bangalore,Maharashtra,West,Office Supplies,Phones,45065.73,9,0.1,-23.57
ORD-100016,Second Class,Consumer,India,Kolkata,Telangana,East,Furniture,Accessories,58611.11,7,,6609.43
ORD-100017,Same Day,Home Office,India,Kolkata,Tamil Nadu,East,Office Supplies,Storage,40094.73,4,0.05,5110.9
ORD-100018,Standard Class,Consumer,India,Bangalore,,West,Office Supplies,,42571.91,10,0.2,-3870.16
ORD-100019,Standard Class,Corporate,India,Kolkata,Karnataka,North,Technology,Chairs,41226.94,8,0.1,326.58
ORD-100020,Second Class,Home Office,India,Delhi,Karnataka,North,Technology,Tables,43400.95,2,0.05,1852.82
ORD-100021,Standard Class,Consumer,India,Delhi,Maharashtra,East,Technology,Tables,46659.09,6,,5089.19
ORD-100022,First Class,Corporate,India,Delhi,West Bengal,East,Office Supplies,Chairs,8109.87,10,0.05,934.74
ORD-100023,Standard Class,Home Office,India,Kolkata,Tamil Nadu,,Technology,Binders,59375.5,4,0.05,6983.74
ORD-100024,Same Day,Home Office,India,,,East,Technology,Accessories,19472.87,3,,855.99
ORD-100025,Standard Class,Home Office,India,Kolkata,Maharashtra,East,Furniture,Phones,25933.44,2,0.05,1103.91
ORD-100026,Same Day,Consumer,India,Bangalore,Delhi,West,Office Supplies,Accessories,21196.93,8,0.2,-1731.84
ORD-100027,Same Day,Consumer,India,Kolkata,Maharashtra,East,Furniture,,40285.38,11,,5051.45
ORD-100028,Same Day,Consumer,India,Mumbai,Tamil Nadu,West,Technology,,17763.11,,0.3,-4682.4
ORD-100029,Same Day,Corporate,India,Kolkata,Maharashtra,West,Furniture,Binders,50727.92,3,0.2,-7051.91
ORD-100030,First Class,Home Office,India,Chennai,Tamil Nadu,East,Furniture,Storage,21997.91,3,0,3579.39
ORD-100031,Second Class,Corporate,India,Chennai,Maharashtra,Central,Technology,Phones,25482.73,11,0.1,1915.26
ORD-100032,Same Day,Corporate,India,Kolkata,Maharashtra,Central,Office Supplies,Accessories,16395.37,9,0,2888.03
ORD-100033,Same Day,Consumer,India,Chennai,West Bengal,Central,Technology,Binders,46604.45,1,0.05,1396.48
ORD-100034,Second Class,Home Office,India,Mumbai,Maharashtra,West,Technology,Storage,27556.02,9,0.3,-6044.75
ORD-100035,Same Day,Consumer,India,Hyderabad,Delhi,,Furniture,Phones,11202.89,7,0.1,-196.91
ORD-100036,Standard Class,Corporate,India,Bangalore,Tamil Nadu,North,Office Supplies,Phones,1434.54,4,0.3,-273.67
ORD-100037,Same Day,Home Office,India,Delhi,Karnataka,Central,Technology,Binders,15177.33,9,,2363.26
ORD-100038,Standard Class,Home Office,India,Chennai,West Bengal,North,Office Supplies,Phones,22720.77,11,0.2,-3169.2
ORD-100039,First Class,Corporate,India,Kolkata,Telangana,East,Technology,Chairs,34307.27,2,0.2,-1173.5
ORD-100040,Second Class,Consumer,India,Delhi,Telangana,Central,,,27340.78,3,,1802.09
ORD-100041,Same Day,Corporate,India,Bangalore,Delhi,South,Technology,Tables,52434.2,6,0.3,-10358.15
ORD-100042,Standard Class,,India,Bangalore,Maharashtra,West,Furniture,Chairs,30963,2,0.05,1967.86
ORD-100043,First Class,Consumer,India,Hyderabad,Tamil Nadu,North,Technology,Storage,21751.02,11,0,4242.86
